iso3;age_13_17_men;age_13_17_women;age_18_24_men;age_18_24_women;age_25_34_men;age_25_34_women;age_35_44_men;age_35_44_women;age_45_54_men;age_45_54_women;age_55_100_men;age_55_100_women;age_13_17_ratio;age_18_24_ratio;age_25_34_ratio;age_35_44_ratio;age_45_54_ratio;age_55_100_ratio;total_men;total_women;total_all;total_ratio;iso2;age_13_17_ratio_std;age_18_24_ratio_std;age_25_34_ratio_std;age_35_44_ratio_std;age_45_54_ratio_std;age_55_100_ratio_std;total_ratio_std;age_13_17_men_pen;age_13_17_women_pen;age_18_24_men_pen;age_18_24_women_pen;age_25_34_men_pen;age_25_34_women_pen;age_35_44_men_pen;age_35_44_women_pen;age_45_54_men_pen;age_45_54_women_pen;age_55_100_men_pen;age_55_100_women_pen;total_men_pen;total_women_pen;total_all_pen
AND;2000.0;2000.0;3933.333333333333;3991.6666666666665;6374.81884057971;6037.878787878788;4866.666666666666;5367.391304347826;4223.007246376812;5090.036231884058;3617.391304347826;4529.710144927536;1.0;1.0148305084745763;0.9471451564150988;1.1028886241810605;1.2053107974775856;1.2522035256410255;25015.21739130435;27016.683135704872;52031.90052700922;1.0800099280806674;AD;1.128463476070529;1.0834227452821228;1.0785252419108338;1.1323302956094117;1.251062788946579;1.2674679686519905;1.131683111531906;1.1160714285714286;1.2594458438287153;1.2147416100473543;1.3160786899659302;1.1521451004120207;1.2426175731382565;0.7763066943159461;0.8790355886583403;0.5719906875764339;0.7155962648508446;0.2963617322913179;0.3756290028134618;0.6868349960545935;0.7772795654440667;0.7310007239074617
ARE;2391.666666666667;2000.0;934247.463768116;500229.9242424242;2300869.565217391;1086826.8774703557;1243525.7575757576;686854.5454545454;408347.8260869565;234034.9896480331;163254.03726708074;104213.63636363635;0.8362369337979093;0.5354362132542897;0.4723548409262695;0.5523444458388721;0.5731265717530624;0.6383525829327251;5052636.316581969;2614159.9731789944;7666796.289760964;0.5173853428950994;AE;0.8683717572349071;0.7980596195106466;1.1157975718047162;1.1534999912829746;1.3087992910409763;1.0002162041552825;1.0284552670878566;0.013082871558110745;0.011360796164595215;1.31079217909618;1.046090307707029;1.0791266341850636;1.2040868780934904;0.7780429122764667;0.8974724925286846;0.5031969238551934;0.6585837771956774;0.38101181461481004;0.3810941909523415;0.8613487268802883;0.8858586349594524;0.8695520740520291
AFG;2000.0;2000.0;481483.3333333333;161772.5877192982;421662.8571428572;91690.45454545454;124445.0;17245.0;29209.057971014496;5925.434782608696;27517.34989648033;6820.0;1.0;0.3359879283865101;0.217449682826558;0.1385752742175258;0.2028629197315702;0.2478436341310733;1086317.5983436853;285453.47704736143;1371771.0753910467;0.2627716585670654;AF;1.0515518080660138;0.3500610995266001;0.22126209089022195;0.1400525896853752;0.19736932147276015;0.1988491797677449;0.262750414614355;0.0010196444703660728;0.0010722089863979569;0.15978977155190055;0.05593618312256256;0.1389039219166863;0.030734172196138134;0.06815233219586382;0.0095449106171287;0.02476116108329928;0.004887093561888495;0.02638081176406105;0.005245802780890817;0.09008326437485485;0.023669415064307673;0.05687499734716146
ATG;2000.0;2000.0;5301.811594202899;6212.5;6790.942028985507;7542.210144927536;3755.731225296443;4744.021739130435;2143.478260869565;2528.260869565217;3000.0;3000.0;1.0;1.1717692885942732;1.1106279677746358;1.2631419701115554;1.1795131845841786;1.0;22991.96310935441;26026.992753623188;49018.9558629776;1.1320039367597088;AG;1.0265832681782643;1.200676819193656;1.0774319086859714;1.1655446155345028;1.0004799333526517;0.7536985205917635;1.0016151820649395;0.7616146230007617;0.7818608287724785;1.1197067780787537;1.3444059727331747;0.9553942077919959;1.0293722048488516;0.58454960705003;0.681318647009972;0.35814173113944275;0.3583136153011929;0.3183023872679045;0.2399040383846462;0.6333176264145661;0.634340549686161;0.6338603442596736
AIA;2000.0;2000.0;2000.0;2000.0;2000.0;2000.0;2000.0;2000.0;2000.0;2000.0;3000.0;3000.0;1.0;1.0;1.0;1.0;1.0;1.0;13000.0;13000.0;26000.0;1.0;AI;0.978678038379531;1.0201438848920863;1.0143027413587604;0.9011274934952298;0.9606299212598426;0.8462732919254656;0.9293853314074787;4.357298474945534;4.264392324093817;2.8208744710860367;2.8776978417266186;2.3501762632197414;2.3837902264600714;1.9249278152069298;1.7346053772766696;1.8214936247723132;1.7497812773403325;1.834862385321101;1.5527950310559002;2.2448627180107064;2.086342481142674;2.1627017135252036
ALB;2000.0;2000.0;142358.87681159418;138529.1666666667;222934.2391304348;185520.8333333333;129791.66666666666;106030.79710144928;66145.83333333333;60854.16666666667;66533.33333333333;62933.333333333336;1.0;0.9730981992082168;0.8321773903235583;0.8169306999790634;0.9200000000000002;0.9458917835671344;629763.9492753623;555868.2971014493;1185632.2463768115;0.8826613491309864;AL;1.0946960259125451;1.0393144013046829;0.8565369674076933;0.8158220594151495;0.786383874544769;0.8450518477589217;0.8459533019248684;0.028450716246781513;0.031144886009717203;0.9986662608057172;1.0379282269524803;0.9436170202977072;0.8082428609600817;0.7537481730983284;0.614924386857485;0.4355854817644024;0.34253739884534057;0.17187856555453657;0.14524629941201406;0.5427848484505547;0.4591706347815361;0.5000899455706428
ARM;2000.0;2000.0;176229.16666666666;177337.13768115942;206008.3333333333;200063.58695652173;122696.3768115942;164350.0;52104.16666666667;96833.33333333331;40306.340579710144;103991.66666666666;1.0;1.006287103522361;0.971143175226836;1.3394853562168898;1.8584566173530583;2.5800324507508168;599344.384057971;744575.724637681;1343920.108695652;1.242317012460173;AM;1.0506785679199473;1.0053253199985586;0.9186137461827211;1.170125203752776;1.5149010257085027;1.6825978024316162;1.0192708812191353;0.02671511006625347;0.028068993586234967;1.4789164799445007;1.4867921834513471;0.9608687270092693;0.882667220907807;0.5928650035591998;0.693726283087599;0.34632905054050045;0.524654233896456;0.133803199417434;0.22513696929809374;0.5616777148241487;0.5725017393499603;0.5676234796778089
ANT;2000.0;2000.0;2000.0;2000.0;2000.0;2000.0;2000.0;2000.0;2000.0;2000.0;3000.0;3000.0;1.0;1.0;1.0;1.0;1.0;1.0;13000.0;13000.0;26000.0;1.0;;;;;;;;;;;;;;;;;;;;;;;
AGO;2000.0;2000.0;201370.8333333333;158670.83333333334;175716.66666666666;154062.6811594203;77753.07971014491;66120.83333333334;27161.41304347826;22529.166666666664;28162.5;21066.666666666668;1.0;0.7879534027188645;0.8767676059532598;0.8503950400398887;0.8294548825793198;0.7480396508359225;512164.4927536232;424450.1811594204;936614.6739130436;0.8287380073487489;AO;1.0024394143663526;0.7831196552404704;0.8586179366246207;0.817518998068714;0.7561041588183562;0.6228754470919999;0.7927152473363427;0.0012412538153039148;0.0012442817476932572;0.09071277200692711;0.07103895473997217;0.07249474046979176;0.062245284478309994;0.04505142305298354;0.036830394235844874;0.02481112920707926;0.018759797978452217;0.024912116510419524;0.015517145709435555;0.050182312257289016;0.039780284072946426;0.04486575065739767
ATA;2000.0;2000.0;2000.0;2000.0;2000.0;2000.0;2000.0;2000.0;2000.0;2000.0;3000.0;3000.0;1.0;1.0;1.0;1.0;1.0;1.0;13000.0;13000.0;26000.0;1.0;AQ;;;;;;;;;;;;;;;;;;;;;;
